description,category_a,category_b,category_c,category_d,category
outlook 點信件會當機，Web Mail 也很慢,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
#13190  ASUS 系統發出的通知信，廣達未接收到，ASUS IT檢查有發出郵件的紀錄，不明原因只有廣達收不到信。,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
使用者反應無法正常收發信件，請協助處理,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
無法打開outlook附檔，權限不足  分機: 13516,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
#13516  郵件都不會送出，會卡在寄件夾，需重新開啟outlook後再傳送,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"outlook打不開, 人在上海",網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
無法使用OUTLOOK,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"Outlook一直被重新啟動,接著顯示無法劶動改要求用安全模式中啟動",網管,Outlook與郵件,Outlook,URL無法連結,Outlook與郵件
雲端信箱滿了,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"本機outlook無法開啟, 不管有無連網接停留在一開始的處理中",網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
"要連結公司內部寄給個人的一些mail時,會出現{ 位於https://QRDCRMS/_wmcs/licensing的服務暫時無法使用 }的畫面,無法開啟mail",網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
無法開啟新資單,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
webmail無法登入,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
Cannot connect to mail server,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"同樣密碼,用web mail可以登入信箱,但是outlook卻出現密碼錯誤.   #17622",網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
Mac OSX 升級到 10.10 Yosemite 之後，無法在公司外用 Mac Mail 軟體收發信。  相同設定在公司 Staff 無線網路可以收發信。,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
#17622  Mac oulook設定似乎有問題，有時可以收信，有時無法,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"使用者的信件一直在server端無法收下來到local電腦, 請協助處理!",網管,Outlook與郵件,Outlook,信件有時無法下載,Outlook與郵件
網路不通 煩請協助聯絡處理 ext 18331  port p123,網管,網路,,,網路
訪客申請頁面 (按下submit發生錯誤)  分機: 18028,內部資訊系統,總務資訊系統,,,資訊系統
郵件卡在傳送/接收，看起來pst太大了，請問我要怎麼指定一個新的呢?,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
欲將outlook設定移至他台電腦以便順利收信,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
英文名字有改，已至HR辦理完成，但是outlook 的emeail  adress 並沒有更動，煩請幫忙更動 #18128 代接 Asier,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
1.雲端outlook當機，即使重開機也無法正常使用於端outlook。  2.網路孔PL24(B264)沒有作用。,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
雲端OUTLOOK 出現無回應的訊息,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"本機outlook一打開就錯誤, 顯示需進行修復。",網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
薪資郵件無法開啟   #10393,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
"QCO04在打開Outlook時會出現""OLMAPI32.dll錯誤"".  無法正常開啟Outlook收信.",網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
在郵件建立會議裡找不到線上會議的指令,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
點開薪資單郵件 outlook就當掉,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
"打開outlook會顯示檢查資料完整性,無法正常使用outlook",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
一直出現驗證憑證，然後無法收發mail,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
無法使用OUTLOOK & WEBMAIL,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
使用者反應無法收信件，請協助處理，聯絡方式：382-614438,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"顯示錯誤訊息: 無法啟動outlook. 無法開啟outlook視窗, 無法開啟資料夾組. 伺服器無法使用...",網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
無法開啟薪資信,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
信收不到,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
#12542,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
跳安全性問題，要求重新登入帳號密碼,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
除了內部網站外，對外網路速度很慢。分機：16310,網管,網路,,,網路
無法連到對外網路,網管,網路,,,網路
Can''t connect wireless ethernet of quanta.   IP 00-1E-65-8F-9E-6C (WIRELESS ADAPTER).  IP 00-23-8B-FA-0B-E4,網管,網路,,,網路
"無法連上網路,驗證一直失敗。",網管,網路,,,網路
"使用者反應無法連上網際網路,請協助處理。(Ext.12280)",網管,網路,,,網路
無法連上網路,網管,網路,,,網路
無法連上網路，分機:15662,網管,網路,,,網路
有線不能連上Internet，但可以進myQuanta  分機: 18323,網管,網路,,,網路
出差回來後，網路無法使用 (proxy有設定),網管,網路,,,網路
PM06 B270  北棟六樓,網管,網路,,,網路
LAN無法連接，IP phone沒電~~  PM06 B270 北棟六樓A區,網管,網路,,,網路
分機: 17198,網管,網路,無法連到某台Server,無法連到某些Server,網路
"個人工作電腦無法連線至公司首頁, 使用網路線",網管,網路,無法連到某台Server,無法連到某些Server,網路
無法正常使用myBPM ，網站畫面一直在轉無法正常開啟,網管,網路,無法連到某台Server,無法連到某些Server,網路
ES-QBIOS03 server已移至QCT雲端運算中心. 固定IP 10.64.174.26  但是目前無法從遠端桌面登錄. 也ping不到這台server.,網管,網路,無法連到某台Server,無法連到某些Server,網路
分機：16480。想要抓取日本設備商網站的DRIVER，但是公司網路似乎有檔。,網管,網路,無法連到某台Server,無法連到某些Server,網路
"原南棟5F SWQA實驗室當中的1台server (\\hste2-01) 本周發現無法連入, server端看到網路斷線的狀態, 網路線接在端口編號為 PT24 C456.  IP手動指定為10.242.249.11, 再煩請協助查明, 謝謝.",網管,網路,無法連到某台Server,無法連到某些Server,網路
無法連到某台server,網管,網路,無法連到某台Server,無法連到某些Server,網路
"目前在大陸出差, 無法連線到QCI 公司內部網頁如myQuanta  聯絡分機如下:385-699461",網管,網路,無法連到某台Server,無法連到某些Server,網路
"使用公司網域(Lunux, Windows)遠端連外部Server,Proxy設定諮詢  #17472",網管,網路,無法連到某台Server,無法連到某些Server,網路
昨天下午開始發生無法遠端桌面到xDS伺服器，請協助確認是否網路設定有異常,網管,網路,無法連到某台Server,無法連到某些Server,網路
www.URBANDICTIONARY.COM 非色情網站.被限制了.,網管,網路,無法連到某台Server,無法連到某些Server,網路
無法透過網址連線到CCBU網址首頁（http://ccbu01/index.html），但可透過IP連線。,網管,網路,無法連到某台Server,無法連到某些Server,網路
離開公司後無法在家或在外收mail.,網管,網路,無法連到某台Server,無法連到某些Server,網路
無法連到\\10.244.104.61檔案伺服器，但是可以ping的到,網管,網路,無法連到某台Server,無法連到某些Server,網路
申請單一直送不出去。,內部資訊系統,總務資訊系統,,,資訊系統
出差至CSMC，使用MAC版OUTLOOK無法下載附件  分機：387 655204,網管,Outlook與郵件,Outlook,附件無法開啟,Outlook與郵件
"Email 無法回覆或轉寄，出現 ""嘗試的操作失敗。找不到物件""  但是以新增電子郵件與收到是可以的。",網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
Outlook發生問題，重慶分機 : 13272,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"請問自己買的NB可否設定像在手機ANDROID收發公司EMAIL?  昨天設定Office 2010的EXCHANGE一直顯示找不到伺服器,",網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
請問申請郵件群組該找誰?,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
#15743,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
網路信箱爆滿。#15743,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
User反應客人無法寄信到Quanta_T6U-FPGA_ENG@quantatw.com group帳號請協助，謝謝。,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
Outlook 無法開啟，出現找不到pst檔，但確認過檔案是存在的 #18120,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
無法開啟薪資單,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
總經理的信與薪資單都無法開啟，一開啟outlook就會當機 #12975,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
假日常收到信箱已滿通知，但Server上的信件都已收到本機,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
分機13123  outlook 出現同步問題的資料夾，會出現同步處理失敗的訊息,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"Outlook 轉存本機遇到權限問題,請協助處理",網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
升級2016後outlook時常當機，週邊同事也有類似情況，請協助確認是否服務有問題?,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
無法開啟加密信件#12349,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
#12349,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
使用某軟體無法收信,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"QCO outlook 可收郵件, 但是本機outlook不能收新郵件.",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
收不到QSMC e-mail.,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"無法連上網際網路,內部網路連線正常,網路孔編號為P122 D190",網管,網路,,,網路
使用訪客ip 連線不穩,網管,網路,,,網路
11047  華亞場研發大樓B1  網路斷掉,網管,網路,,,網路
"無法下載BIOS vendor website上的資料  web: https://phoenix.subscribenet.com/control/ptec/index    Error:  Access Denied (policy_denied)        Your system policy has denied access to the requested URL.         請與MIS聯繫,取得進一步的協助 資訊部24小時服務電話 #19999 .  For assistance, contact Quanta Computer network support team. Call #19999 Now! 24-7 Non-stop service",網管,網路,,,網路
網路不通(同部門兩個同事都一樣),網管,網路,,,網路
外部網頁都無法連上 包含客戶的網站 連絡分機13349,網管,網路,,,網路
使用者在上海，無法連外網!!  #382-60435,網管,網路,,,網路
換了密碼無法登入網域,網管,網路,,,網路
QSMC機台網路連線問題詢問#17808,網管,網路,,,網路
有線不通,網管,網路,,,網路
有線無線都不通，網孔也不通,網管,網路,,,網路
"ProE Software & ""網路連線""都會跳出輸入帳號密碼視窗, 輸入工號密碼後,仍無法瀏覽網頁 (OCS聯絡或撥 #3952087 ) 麻煩協助處理,謝謝 !!",網管,網路,,,網路
"網路不通, 網孔#:D123/D124",網管,網路,,,網路
有線，無線網路皆不通。,網管,網路,,,網路
網路不通#15973,網管,網路,,,網路
1. 20150409-old.pst 壞掉可否修復.  2. 本機OUTLOOK設定與OCO outlook 同步,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
OUTLOOK 無法寄件.,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"廣達文教基金有部份的同仁發生outlook沒辦法收發的問題，出現""proxy伺服器的安全性憑證發生問題，outlook沒辦法連線至proxy伺服器(mail.quantatw.com)""。請使用以下名單進行聯絡，並處理問題，謝謝。  GIGN006(分機:66681)  GIGN007(分機:66682)  GIGN009(分機:66638)  GIGN0013(分機:66636)  GIGN0014(分機:66659)",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
#16088,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
寄給廠商的郵件都會被退回,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
點擊outlook，跑了一個多小時，一直出現驗證訊息，無法正常開啟使用  ext:12538,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
12249，cost center 變更，但outlook 仍無更新,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
使用者反應郵件寄信者列表如果是從工廠端發信都是直接顯示工號，想詢問如何改變設定變成信箱，請協助處理,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
Outlook無法正常開啟,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
outlook打不開,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
使用者反應 outllok 無法開啟 請協處!,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
郵件無法更新,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"Outlook無法收發,請協助處理,謝謝  #13521",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
Outlook 點不開,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
分機: 15649,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
對外網路速度不正常,網管,網路,,,網路
"在會議室B無法使用staff無線網路上網,顯示錯誤訊息為權限不足",網管,網路,,,網路
無法連至外部網路,網管,網路,,,網路
"網頁無法使用, 會顯示未經授權, 請協助處理",網管,網路,,,網路
"無法連外, Outlook不能收發信件, 上禮拜開始陸續發生此狀況",網管,網路,,,網路
"User無法使用網路,有線和無線都有問題,請協助處理.  #16807",網管,網路,,,網路
該同仁無法上網 煩請協助處理 該同仁分機:15779,網管,網路,,,網路
無法上網(#12175),網管,網路,,,網路
無法連線客戶FTP，使用FILEZILA，上星期還可以。#15514,網管,網路,,,網路
"還原備份ghost, 無法登入",網管,網路,,,網路
"網路孔不通,無法上網",網管,網路,,,網路
網孔：PJ20 C212     常常電腦網路不通  但電話通 #15636,網管,網路,,,網路
電腦昨天關機後今天就無法連上網路 15608,網管,網路,,,網路
Can''t connect to the external web sites,網管,網路,,,網路
網路無法使用，請幫忙處理，謝謝！,網管,網路,,,網路
網路孔編號: PH05B149  分機: 15893,網管,網路,,,網路
更改密碼後無法登入電腦 ＃15781,網管,網路,,,網路
Boss cannot sign visitor system.  Boss''s ID: 88042605,內部資訊系統,總務資訊系統,,,資訊系統
已建立新資料檔，但仍顯示空間已滿。  分機：16287,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
信件無法寄出,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
#17096 outlook 改本機端的設定,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
outlook郵件無法收發  #17189,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
自己的MAC無法收發公司的信,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
OUTLOOK不能收信,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"OUTLOOK 異常很慢,有時無法使用",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
無法開啟中秋禮金mail,網管,Outlook與郵件,Outlook,無法開啟公告信,Outlook與郵件
"廖正煌副處長(10007033)原本是QCI觸控小組的員工.  自9/1起, 外派到QSMC的MLMC.  目前, 這裡的MIS已經協助建立了郵件地址.  可否請MIS幫忙把廖正煌副處長原本tw的郵件(henry.liao@quantatw.com), 都能夠forward到大陸現在這一個新的郵件地址呢(henry.liao@quantacn.com)?  因為有一些客戶與廠商還要有業務上的來往.  謝謝你的幫忙.  如果可以的話, 可否從8/29上周五的開始呢?",網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
無法開啟薪資郵件,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
掛載舊的2010 PST檔，在2016outlook 無法正常開啟。,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
開啟或回覆郵件，總會會跳出未開啟Microsoft office outlook 的Microsoft 會議增益集。,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"請Lync連絡 人在大陸, 無法收發信",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
Webmail查看已無信件，但是仍提示郵件容量將滿 #15070,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
每天下班後都會收到信箱快滿的通知,網管,Outlook與郵件,Outlook,信件有時無法下載,Outlook與郵件
無法開啟薪資單,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
user 反應outlook同步問題   #15906,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
不斷要求驗證,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
"使用者無法點選email裏的連結(ex: 產業新聞), 請協助處理!",網管,Outlook與郵件,Outlook,URL無法連結,Outlook與郵件
分機:12213    問題:無法使用瀏覽器於網頁收信，請協助設定。,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
近兩周收信內容凌亂。可能於下午才能收到上午發出的電子郵件。  分機：12213,網管,Outlook與郵件,Outlook,信件有時無法下載,Outlook與郵件
"Outlook無法開啟pst檔案，跳出視窗顯示""無法展開資料夾。無法開啟資料夾組。檔案\\quanta.corp\.....\xxx.pst正在使用並且無法存取。請關閉使用此檔案的所有應用程式，然後再試一次。可能需要重新啟動電腦。""。此視窗以及Outlook皆無法關閉也無法進行任何動作，在雲端伺服器的作業系統中無法使用裝置管理員強行停止執行，因此重開機並且重新登入雲端還是卡在同一個畫面，沒有辦法收信。",網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
outlook 的PST檔無法讀取  分機:16870,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
稍早電腦出現硬碟黑色屏幕自動修復資料的畫面。修復完後重新開機Outlook 顯示如下: 無法顯示資料夾！在檔案C:\User\10108022\AppData\Local\Microsoft\Outlook\Ellen.Li@quantatw.com.ost中找到錯誤。 電腦Outlook無法收取郵件，手機可以收到最新郵件。,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"使用outlook出現問題, 無法刪信",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
1.無法開啟Mail之超連結  2.點選表單簽核發生錯誤  P.S. 請以Lync聯絡,網管,Outlook與郵件,Outlook,URL無法連結,Outlook與郵件
信件沒有收到收件夾.,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
使用者反應郵件沒辦法收發，請協助處理,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
登入Web Mail，需要等候多時才能進行刪除Mail作業,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"user 有outlook使用上問題, #13601",網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
無法登入,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"今天發現會收到重複的 mail. 從 Annie Yu (游喆安) Annie.Yu@quantatw.com,  2014/8/8 (週五) 上午 11:11.  他在昨天晚上已寄過一次: 2014/8/7 (週四) 下午 09:17,, 他說今天早上沒再重寄, 但我卻收到重複的 mail..",網管,Outlook與郵件,Outlook,信件會重複收到,Outlook與郵件
"到寄件備份, outlook 常常會 down 掉沒有回應, 如果只是重開outlook, 不一定會好. 常必須重開電腦. 但用一段時間, 如又到寄件備份, 又會再down 掉.  以下是 Widows 的錯誤訊息:  問題事件名稱: APPCRASH    應用程式名稱: OUTLOOK.EXE    應用程式版本: 14.0.6025.1000    應用程式時間戳記: 4d949961    錯誤模組名稱: mspst32.dll    錯誤模組版本: 14.0.6025.1000    錯誤模組時間戳記: 4d9497d2    例外狀況代碼: c0000005    例外狀況位移: 000000000003decb    作業系統版本: 6.1.7601.2.1.0.256.4    地區設定識別碼: 1028    與問題相關的其他資訊:    LCID: 1028    skulcid: 1028",網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"今天早上..無法收發 email, 不論是用有線還是無線網路.. 需要 MIS 緊急幫忙.. thank you  (但網路可以使用)",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"user反應客人無法抓取到訪客IP,會議室#416 請盡快協助處理,#11556",網管,網路,訪客網路,訪客輸入帳號無法成功,網路
VPN進不去.  11556.,網管,網路,,,網路
"NB5 處長反應,客人在#416會議室無法連接訪客網路,請盡快協助處理 #11556",網管,網路,訪客網路,訪客輸入帳號無法成功,網路
"last night can login to SSLVPN, but can''t access the servers and the BU Systems last night.",網管,網路,,,網路
error: 413.,網管,網路,,,網路
訪客網路不通。  #212889,網管,網路,訪客網路,訪客輸入帳號無法成功,網路
"客人反應這組無線網路帳號密碼都上不去,已經兩周都無法使用了  140923004  pvqhXHCd",網管,網路,訪客網路,訪客輸入帳號無法成功,網路
#12851  317會議室，客人網路不通，但其他人的都正常。早上還可以使用，下午卻無法連上網路!!,網管,網路,訪客網路,訪客輸入帳號無法成功,網路
VPN連線時出現401的錯誤 #18227,網管,網路,,,網路
16590  出現ERROR 報錯,網管,網路,,,網路
"由於9/1~9/7,  9/22~9/28 出差至台灣 需要申請S105會議室的網路權限。處理好請麻煩通知",網管,網路,訪客網路,訪客輸入帳號無法成功,網路
"當初用 APP0106530, 來申請台幹的WEB 帳號密碼, 但因助理請假, 不知道開通的密碼",網管,網路,訪客網路,訪客輸入帳號無法成功,網路
使用3G無線網卡連 SSLVPN 常常會斷線，但3G訊號是連線中可正常上其它網站。,網管,網路,,,網路
詢問如何使用VPN連公司系統  #17783,網管,網路,,,網路
"使用者在QCG, VPN無法登入.   分機38875.",網管,網路,,,網路
使用者反應Outlook無法開啟，請協助處理,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
信件已刪除，信箱依舊是滿的狀態，分機：13645,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
顯示信箱已滿，但我才剛另存pst檔,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
外部信會被擋調,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
人員10410008再日本無法登入Exchange #16452,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
Outlook 打不開,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
Mail資料夾隱藏後找不到  #16732,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
薪資無法閱讀,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
無法收發mail,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
無法順利進入OUTLOOK，重新開機後亦然。  分機：15342,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
Outlook打開至少要五分鐘，IE打開也要很久。,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
人在上海   電話72768  忘記密碼 & 無法開薪資單,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
雲端信件遺失,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
1.如何使用行動裝置收發公司Mail  2.如何使用行動裝置連QCO,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
21302 重慶   要砍台灣信箱,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
分機12042,網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
"NB Outlook 目前用個人手機來看Outlook 公司郵件信箱,  都無法進入個人手機。(NB密碼更新與手機Outlook也都全部重新,  但都無法進入!)",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
信箱空間爆掉  需要協助設定新的PST檔案,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"18025 , 反映 mail server 當掉 , 無法收信",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
問題:Outlook異常，信件點選後無法顯示已讀取     分機:11653,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
ES研發二組ES研發四處軟體課(ERF03)，請設定廖瑞澤(88101801)為原簽核主管高星照(88090701)之代理人，謝謝!,內部資訊系統,總務資訊系統,,,資訊系統
無法收到mail,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
QSMC的連結無法開啟,網管,Outlook與郵件,Outlook,URL無法連結,Outlook與郵件
user反應outlook無法使用  #18872,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
無法收信,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
ext:16023  Outlook無法收發,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
user 有outlook使用上問題  #216748,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
郵件內部連結至廣義廳及BPM相關點擊連結跳出以下錯誤訊息  這項作業因電腦上作用中的限制而取消，請聯絡你的系統管理員,網管,Outlook與郵件,Outlook,URL無法連結,Outlook與郵件
人在上海出差，收信緩慢，信件寄不出去，煩請幫忙處理 #611790,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
同仁outlook 會一直跳出認證視窗  無法收信,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
OUTLOOK點不開,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
outlook can''t open in cloud,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
deafult 的資料夾(vincent.hsu@quantatw.com)   無法點開，出現無法開啟資料夾組,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
"2 problems,  1. 無法開啟薪資單的mail, 只選到此mail就會讓outlook hang住, 需要reboot outlook. It is OK last month.  2. 只要一晚沒收mail，就會warning mailbox is almost full and some mails will be lost.",網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
無法從mail中開啟線上課程連結,網管,Outlook與郵件,Outlook,URL無法連結,Outlook與郵件
開啟薪資單會跳出視窗  此內容無法透過您目前的認證進行存取。您要使用Microsoft帳戶來存取此內容嗎?  很抱歉，開啟受資訊版權管理保護的內容發生錯誤。發生內部錯誤。,網管,Outlook與郵件,Outlook,無法開啟薪資單,Outlook與郵件
每次開啟outlook，電腦會知雲端信箱空間已滿。我每天都有刪除信件達200mb，但是收到的信件不到50mb，就被告知雲端信箱空間已滿。  可以請MIS幫忙設定，或協助教學設定，把outlook信改收在電腦硬碟而不是只有390mb的雲端信箱。多謝幫忙,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
GRC11 **系統整合測試中心測試七部系統認證課，在通訊錄裏是空的。 有時公司內部發的信件會無法收到( 像福利點數加6000點，績效評核時間等)，,網管,Outlook與郵件,Outlook,其他問題,Outlook與郵件
無法收信,網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"Outlook 不能用, 帳戶過期, 請協助重新設定, 謝謝",網管,Outlook與郵件,Outlook,郵件無法收發,Outlook與郵件
"15095, Outlook 點不開 , 網路是正常的",網管,Outlook與郵件,Outlook,Outlook點不開,Outlook與郵件
您好，我上禮拜拿到一部網路桌機電話，插上網路後電話顯示45666，我想改成我的號碼:17029，謝謝,網管,網路,,,網路
使用者台灣密碼過期，請協助重設，請聯絡38260792,網管,網路,,,網路
User 至大陸出差，因為電腦有問題而還原備份資料，導致無法登入廣達網域 (cell phone: 15800-658-827),網管,網路,,,網路
連系統網路非常慢，常常顯示找不到網頁，想確認是否頻寬問題有關係,網管,網路,,,網路
北棟5樓D區 ROUTER壞掉,網管,網路,,,網路
"FTP01 , account: magnum, 無法連線",網管,網路,,,網路
nb5的ftp 10.241.153.6 無法登入，  錯誤訊息：權限不足被拒絕,網管,網路,,,網路
"因需要登入客人server, 客人要求提供一組公司ip以開放登入權限, 請協助處理, #13227",網管,網路,,,網路
WBU 網路目前都很慢,網管,網路,,,網路
"因工作需求, 需新增port",網管,網路,,,網路
"欲分享資料, 也已設定好共享資料夾, 成功加入使用者, 但是仍無法共享  嘗試\\10.242.232.199也無法找到, VNC也無法連結, 網孔: PD21 C069",網管,網路,,,網路
"分機15800老是撥不通  系統老是回應""Your call cannot be completed as dialed. Please consult your directory and dial again.....""",網管,網路,,,網路
無法連上客戶網頁，上周可以  pgrail.intel.com  pgrail02.intel.com,網管,網路,,,網路
華亞廠的網路不太穩  請幫忙查明並解決問題,網管,網路,,,網路
